founder_name;company_name;last_funding_type;gender
Shayan Zakerzadeh;Omnidock;seed;male
Alex Ruber;Encore;pre_seed;male
Parth Chopra;Encore;pre_seed;male
Elias Almqvist;Exa Laboratories;pre_seed;male
Prithvi Raj;Exa Laboratories;pre_seed;male
Max Bertfield;Scout;pre_seed;male
Noah Fichter;Scout;pre_seed;male
Anubhav Guha;Sensei Robotics;pre_seed;male
John Piotti;Sensei Robotics;pre_seed;male
Axel Peytavin;Innate;pre_seed;male
Vignesh Anand;Innate;pre_seed;male
Allen Wang;Outerport;pre_seed;male
Towaki Takikawa;Outerport;pre_seed;male
Gavin Saldanha;Lightscreen AI;seed;male
Prachie Banthia;Lightscreen AI;seed;female
Jai Padmakumar;1849 Bio;pre_seed;male
Yongjin Park;1849 Bio;pre_seed;male
Adish Jain;Mosaic;pre_seed;male
Kyle Wade;Mosaic;pre_seed;male
Ken Hendricks;Basepilot;pre_seed;male
Pascal Wieler;Basepilot;pre_seed;male
Abhi Rajendran;AminoAnalytica;seed;male
Adam Wu;AminoAnalytica;seed;male
Matteo Peluso;AminoAnalytica;seed;male
Benjamin Liu;Durate;pre_seed;male
Michael Mounajjed;Durate;pre_seed;male
Adolfo Roquero Gimenez;YouShift;pre_seed;male
Jota Chamorro;YouShift;pre_seed;male
Lucía Vives Martorell;YouShift;pre_seed;female
Coleman Smith;Parity;pre_seed;male
Jeffrey Tsaw;Parity;pre_seed;male
Wilson Spearman;Parity;pre_seed;male
Antonio Monreal;Revise Robotics;pre_seed;male
Rupesh Jeyaram;Revise Robotics;pre_seed;male
Andrew Pareles;Void;pre_seed;male
Mathew Pareles;Void;pre_seed;male
Elie Dufeu;Metreecs;pre_seed;male
Martin Dimitrov;Metreecs;pre_seed;male
Thibaut Pellegrin;Metreecs;pre_seed;male
Puneet Sukhija;Bild AI;pre_seed;male
Roop Pal;Bild AI;pre_seed;male
Benjamin Swerdlow;Freestyle;pre_seed;male
Jacob Zwang;Freestyle;pre_seed;male
Akshaj Kadaveru;MathDash;pre_seed;male
Daniel Sun;MathDash;pre_seed;male
Akhilesh Sharma;Lumina_1;pre_seed;male
Ishaan Kapoor;Lumina_1;pre_seed;male
Mehul Chadda;Lumina_1;pre_seed;male
Bella Wu;Dexter;pre_seed;female
Caterina Kiehntopf;Dexter;pre_seed;female
Vincent Garrigues;Dexter;pre_seed;male
Michael Chen;Yondu;pre_seed;male
Tahmid Jamal;Yondu;pre_seed;male
Juan Castaño;Benchify;pre_seed;male
Max Hippel;Benchify;pre_seed;male
Javier Antoran;Ångström AI;pre_seed;male
Jose Miguel Hernandez Lobato;Ångström AI;pre_seed;male
Laurence Midgley;Ångström AI;pre_seed;female
Lukas Martinelli;Reprompt;pre_seed;male
Rob Balian;Reprompt;pre_seed;male
Aahel Iyer;Midship;pre_seed;male
Kieran Taylor;Midship;pre_seed;male
Max Maio;Midship;pre_seed;male
Ishan Sheth;Ergo;pre_seed;male
Yash Dulla;Ergo;pre_seed;male
Kirthi Banothu;Protegee;pre_seed;female
Xiaoyu Li;Protegee;pre_seed;female
Essam Sleiman;Canvas AI;pre_seed;male
Daniel Tyshler;Riviera;pre_seed;male
Sathvik Nori;Riviera;pre_seed;male
Shaun Lane;Riviera;pre_seed;male
Paul-Henri Biojout;Dollyglot;pre_seed;male
Thomas Minassian;Dollyglot;pre_seed;male
Pushkar Lanka;Vora AI;pre_seed;male
Alvaro Rivera;Codes Health;pre_seed;male
Austin Mills;Codes Health;pre_seed;male
Cody Durr;Codes Health;pre_seed;male
